element,average_magmom,atom_count,source_csv_count
Ag,0.0,1232,66
Au,0.0,1288,70
Co,1.4920536,1250,68
Cr,0.6811982758620689,348,35
Cu,0.0012407407407407538,56430,1222
Fe,2.525773972602741,1314,73
Ga,0.0,842,53
In,0.0,266,28
Ir,0.0,1316,73
Mn,2.82822510822511,462,41
Mo,-8.501118568232649e-05,894,60
Ni,0.25791916167664664,1002,54
O,0.016657937806873968,1222,1222
Os,0.005713740458015268,1310,73
Pd,0.0,1328,76
Pt,0.0,1300,76
Re,-0.0009162895927601814,1326,75
Rh,0.015871794871794864,1326,75
Ru,0.06389696969696973,1320,74
Sn,0.0,168,22
W,0.00011492281303602058,1166,70
Zn,0.0,1120,60
